Feature_name,Importance_weight
 Protocol,0.969751238822937
 Fwd Packet Length Min,0.9631569981575012
 Max Packet Length,0.9602257609367371
 Bwd Packet Length Min,0.9542503952980042
 Min Packet Length,0.9532288908958435
 PSH Flag Count,0.9445052146911621
 ECE Flag Count,0.9357828497886658
 RST Flag Count,0.9098570346832275
 Active Std,0.9048076868057251
 Packet Length Variance,0.8783751130104065
 ACK Flag Count,0.8701006174087524
 Down/Up Ratio,0.8502158522605896
 Init_Win_bytes_backward,0.8189272284507751
 act_data_pkt_fwd,0.8100605607032776
 Fwd Packet Length Mean,0.8063164949417114
 Avg Fwd Segment Size,0.7976098656654358
 CWE Flag Count,0.7940780520439148
 Bwd Packets/s,0.7830657958984375
Active Mean,0.7795540690422058
 Active Max,0.7745949625968933
 Fwd URG Flags,0.7577857375144958
 Subflow Bwd Packets,0.7514132857322693
 Total Backward Packets,0.7384288907051086
 Flow IAT Min,0.7377474308013916
 Active Min,0.7207035422325134
 Fwd Packet Length Max,0.5566453337669373
 Bwd URG Flags,0.5556004047393799
 Bwd Avg Packets/Bulk,0.5503867864608765
 Bwd PSH Flags,0.5423986911773682
Bwd Avg Bulk Rate,0.5137351155281067
Fwd Avg Bytes/Bulk,0.5113345980644226
 Fwd Avg Packets/Bulk,0.5008516311645508
 Fwd Avg Bulk Rate,0.4966793358325958
 Average Packet Size,0.4914777874946594
 Bwd Avg Bytes/Bulk,0.4832614064216614
 Fwd Header Length,0.4826599657535553
 Subflow Fwd Bytes,0.460104763507843
 Idle Max,0.44828733801841736
Total Length of Fwd Packets,0.44412198662757874
Bwd Packet Length Max,0.44207629561424255
 Total Fwd Packets,0.4086509346961975
Idle Mean,0.3617006540298462
 Fwd Header Length.1,0.3557303845882416
Subflow Fwd Packets,0.34226179122924805
FIN Flag Count,0.3277865946292877
 Subflow Bwd Bytes,0.31338411569595337
 Fwd Packet Length Std,0.28321945667266846
 Total Length of Bwd Packets,0.2739468216896057
 Bwd Header Length,0.21201199293136597
 Packet Length Std,0.19515928626060486
 Avg Bwd Segment Size,0.14741118252277374
 Bwd Packet Length Std,0.13065096735954285
 Bwd Packet Length Mean,0.11706195026636124
 Idle Min,0.11705652624368668
 Bwd IAT Min,0.11338436603546143
 Flow IAT Mean,0.10934112966060638
 Packet Length Mean,0.10058432817459106
 Flow Duration,0.09859514236450195
Bwd IAT Total,0.0956018790602684
 Flow IAT Std,0.09482811391353607
 Flow IAT Max,0.09405630826950073
 Fwd IAT Std,0.09386926144361496
 Fwd IAT Min,0.09307794272899628
Fwd IAT Total,0.09247812628746033
 URG Flag Count,0.0895078107714653
 Fwd IAT Max,0.0794123113155365
 Fwd IAT Mean,0.07932493835687637
 Bwd IAT Max,0.07733465731143951
 min_seg_size_forward,0.07125862687826157
Fwd Packets/s,0.06966765969991684
 Bwd IAT Std,0.06809380650520325
 Bwd IAT Mean,0.060295846313238144
Fwd PSH Flags,0.05834029242396355
 SYN Flag Count,0.048654794692993164
 Idle Std,0.04848656430840492
Init_Win_bytes_forward,0.03866313397884369
